timestamp,context_type,people_in_room,ambient_noise,network_activity_level,door_open_events
2025-01-01T00:00:00+00:00,environment,1,0.3587701060634815,0.19148079689993497,4
2025-01-01T01:00:00+00:00,environment,1,0.28987260285280575,0.43687435188527196,5
2025-01-01T02:00:00+00:00,environment,1,0.40465551213366985,0.6614953617198911,5
2025-01-01T03:00:00+00:00,environment,1,0.3014818324389683,0.3524360959604922,2
2025-01-01T04:00:00+00:00,environment,1,0.42878803817860667,0.5609441704301241,4
2025-01-01T05:00:00+00:00,environment,2,0.4707130751825567,0.41118846032526846,1
2025-01-01T06:00:00+00:00,environment,2,0.46424979036042135,0.3017015228418148,2
2025-01-01T07:00:00+00:00,environment,2,0.2752677100838487,0.5723505697260112,2
2025-01-01T08:00:00+00:00,environment,2,0.34106859383343746,0.38634406567670637,4
2025-01-01T09:00:00+00:00,environment,1,0.2599272070871971,0.1464355354994653,1
2025-01-01T10:00:00+00:00,environment,1,0.2749842782470824,0.3476015331041625,4
2025-01-01T11:00:00+00:00,environment,2,0.31642953158575854,0.6260007422801164,5
2025-01-01T12:00:00+00:00,environment,2,0.4711661716896872,0.38982248192943647,1
2025-01-01T13:00:00+00:00,environment,2,0.5335799820806668,0.29366501221721686,2
2025-01-01T14:00:00+00:00,environment,1,0.39934564397206007,0.6548613607454563,1
2025-01-01T15:00:00+00:00,environment,2,0.5006686008085441,0.3278215013112844,3
2025-01-01T16:00:00+00:00,environment,1,0.2696198746162033,0.40267658057454386,1
2025-01-01T17:00:00+00:00,environment,2,0.3430292628123749,0.5815017870186707,3
2025-01-01T18:00:00+00:00,environment,2,0.47132270897711626,0.5349121132485071,2
2025-01-01T19:00:00+00:00,environment,1,0.47367060220797624,0.5332050166758251,4
2025-01-01T20:00:00+00:00,environment,1,0.053464297246109585,0.8134933702884751,0
2025-01-01T21:00:00+00:00,environment,1,0.15937892611755708,0.900979110579511,0
2025-01-01T22:00:00+00:00,environment,1,0.06856886902678125,0.8443627433948743,1
2025-01-01T23:00:00+00:00,environment,1,0.06852265030127674,0.8147788032747072,1
2025-01-02T00:00:00+00:00,environment,2,0.3240282326077857,0.4511042984923204,2
2025-01-02T01:00:00+00:00,environment,2,0.46765355356604293,0.6058972739086126,2
2025-01-02T02:00:00+00:00,environment,1,0.28551405069276203,0.199227935912799,2
2025-01-02T03:00:00+00:00,environment,1,0.4997615984921967,0.6094330742833542,4
2025-01-02T04:00:00+00:00,environment,1,0.4620246485938836,0.44476396998297346,4
2025-01-02T05:00:00+00:00,environment,1,0.512415034544623,0.3092080255429868,2
2025-01-02T06:00:00+00:00,environment,1,0.3241894226487813,0.696501585007931,4
2025-01-02T07:00:00+00:00,environment,2,0.535307880701867,0.4487443590712476,4
2025-01-02T08:00:00+00:00,environment,2,0.2950026529899272,0.26149511303202194,3
2025-01-02T09:00:00+00:00,environment,2,0.48048913310785,0.3070025526094805,4
2025-01-02T10:00:00+00:00,environment,2,0.36160662664034604,0.5084282874358197,4
2025-01-02T11:00:00+00:00,environment,1,0.3660945924273969,0.5151003511804553,3
2025-01-02T12:00:00+00:00,environment,1,0.5062497916634922,0.2209266656418232,2
2025-01-02T13:00:00+00:00,environment,2,0.44258678246644756,0.35896486505681935,3
2025-01-02T14:00:00+00:00,environment,1,0.2703748602642525,0.6456531710330462,1
2025-01-02T15:00:00+00:00,environment,1,0.4756304808475559,0.6362463434659289,4
2025-01-02T16:00:00+00:00,environment,1,0.33119504894805746,0.6768267372092238,4
2025-01-02T17:00:00+00:00,environment,2,0.3839103042075372,0.5659139353017344,5
2025-01-02T18:00:00+00:00,environment,1,0.34615687458101224,0.125768610494976,4
2025-01-02T19:00:00+00:00,environment,1,0.3261733686207893,0.47920431984273626,4
2025-01-02T20:00:00+00:00,environment,1,0.23890834540373723,0.8323423465029076,1
2025-01-02T21:00:00+00:00,environment,1,0.17347626303179497,0.93137028615823,1
2025-01-02T22:00:00+00:00,environment,1,0.2128164180731473,0.9954901623192127,1
2025-01-02T23:00:00+00:00,environment,1,0.19118951376126883,0.8804857324926556,1
2025-01-03T00:00:00+00:00,environment,1,0.36027780731389975,0.6487211014927352,4
2025-01-03T01:00:00+00:00,environment,1,0.4068060286012682,0.3195330163053162,4
2025-01-03T02:00:00+00:00,environment,1,0.4312189082545983,0.5272421118883794,3
2025-01-03T03:00:00+00:00,environment,1,0.4879571109084989,0.5761566237203533,2
2025-01-03T04:00:00+00:00,environment,1,0.44916852225051196,0.32069166195149557,2
